code,name,market,sector33,sector17,size
7682,浜木綿,standard,小売業,小売,none
7683,ダブルエー,prime,小売業,小売,small2
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,growth,卸売業,商社・卸売,none
7686,ひとまいる,standard,小売業,小売,none
7687,ミクリード,growth,卸売業,商社・卸売,none
7689,コパ・コーポレーション,growth,卸売業,商社・卸売,none
7692,アースインフィニティ,standard,電気・ガス業,電力・ガス,none
7694,いつも,growth,小売業,小売,none
7695,交換できるくん,growth,小売業,小売,none
7698,アイスコ,standard,卸売業,商社・卸売,none
7701,島津製作所,prime,精密機器,電機・精密,mid400
7702,ＪＭＳ,standard,精密機器,電機・精密,small2
7707,プレシジョン・システム・サイエンス,growth,精密機器,電機・精密,none
7709,クボテック,standard,精密機器,電機・精密,none
7711,助川電気工業,standard,精密機器,電機・精密,none
7713,シグマ光機,standard,精密機器,電機・精密,none
7715,長野計器,prime,精密機器,電機・精密,small2
7716,ナカニシ,standard,精密機器,電機・精密,none
7717,ブイ・テクノロジー,prime,精密機器,電機・精密,small2
7719,東京衡機,standard,精密機器,電機・精密,none
7721,東京計器,prime,精密機器,電機・精密,small1
7722,国際計測器,standard,精密機器,電機・精密,none
7723,愛知時計電機,prime,精密機器,電機・精密,small2
7725,インターアクション,prime,精密機器,電機・精密,small2
7726,黒田精工,standard,機械,機械,none
7727,オーバル,standard,精密機器,電機・精密,none
7729,東京精密,prime,精密機器,電機・精密,mid400
7730,マニー,prime,精密機器,電機・精密,small1
7731,ニコン,prime,精密機器,電機・精密,mid400
7733,オリンパス,prime,精密機器,電機・精密,large70
7734,理研計器,prime,精密機器,電機・精密,small1
7735,ＳＣＲＥＥＮホールディングス,prime,電気機器,電機・精密,mid400
7740,タムロン,prime,精密機器,電機・精密,small1
7741,ＨＯＹＡ,prime,精密機器,電機・精密,core30
7743,シード,standard,精密機器,電機・精密,none
7744,ノーリツ鋼機,prime,精密機器,電機・精密,small1
7745,Ａ＆Ｄホロンホールディングス,prime,精密機器,電機・精密,small1
7746,岡本硝子,standard,精密機器,電機・精密,none
7747,朝日インテック,prime,精密機器,電機・精密,mid400
7749,メディキット,standard,精密機器,電機・精密,none
7751,キヤノン,prime,電気機器,電機・精密,large70
7752,リコー,prime,電気機器,電機・精密,mid400
7760,ＩＭＶ,standard,精密機器,電機・精密,none
7762,シチズン時計,prime,精密機器,電機・精密,small1
7769,リズム,prime,精密機器,電機・精密,none
7771,日本精密,standard,精密機器,電機・精密,none
7774,ジャパン・ティッシュエンジニアリング,growth,精密機器,電機・精密,none
7775,大研医器,standard,精密機器,電機・精密,none
7776,セルシード,growth,精密機器,電機・精密,none
7777,スリー・ディー・マトリックス,growth,精密機器,電機・精密,none
