delist_date,name,code,market_name,reason,category
2024-11-28,いなげや,8182,プライム,ユナイテッド・スーパーマーケット・ホールディングスの完全子会社化,acquisition
2024-12-06,エッジテクノロジー,4268,グロース,株式等売渡請求による取得,acquisition
2024-12-12,ＣＤＧ,2487,スタンダード,ＣＬホールディングスの完全子会社化,acquisition
2024-12-17,アルプス物流,9055,プライム,株式の併合,acquisition
2024-12-18,ファンケル,4921,プライム,株式の併合,acquisition
2024-12-24,石井鐵工所,6362,スタンダード,株式の併合,acquisition
2024-12-26,東葛ホールディングス,2754,スタンダード,株式の併合,acquisition
2024-12-28,日本電解,5759,グロース,民事再生手続き,failure
2025-01-07,日本出版貿易（株）,8072,スタンダード,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-01-07,（株）パスコ,9232,スタンダード,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-01-07,（株）ＪＴＯＷＥＲ,4485,グロース,他社による買収（公開買付け、株式併合）,acquisition
2025-01-15,トランコム（株）,9058,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-01-24,エレマテック（株）,2715,プライム,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-01-24,（株）デサント,8114,プライム,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-01-30,（株）フェイス,4295,スタンダード,ＭＢＯ（公開買付け、株式等売渡請求による取得）,acquisition
2025-01-30,富士古河Ｅ＆Ｃ（株）,1775,スタンダード,富士電機の完全子会社化（株式交換）,acquisition
2025-01-30,ハウスコム（株）,3275,スタンダード,大東建託の完全子会社化（株式交換）,acquisition
2025-01-30,サムティホールディングス（株）,187A,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-01-31,アグロ　カネショウ（株）,4955,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-02-06,（株）太陽工機,6164,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-02-10,（株）マネーパートナーズグループ,8732,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-02-10,アルファグループ（株）,3322,スタンダード,支配株主等による買収（株式併合）,acquisition
2025-02-12,（株）安江工務店,1439,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-02-17,ＵＵＵＭ（株）,3990,グロース,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-02-19,常磐興産（株）,9675,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-02-25,（株）ラック,3857,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-02-26,（株）銀座山形屋,8215,スタンダード,支配株主等による買収（株式併合）,acquisition
2025-03-03,（株）ティーガイア,3738,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-03-04,（株）レーサム,8890,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-03-04,ウェルスナビ（株）,7342,グロース,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-03-10,Ｉ－ＰＥＸ（株）,6640,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-03-11,大和重工（株）,5610,スタンダード,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-03-17,麻生フオームクリート（株）,1730,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-03-18,ネットワンシステムズ（株）,7518,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-03-19,リニューアブル・ジャパン（株）,9522,グロース,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-03-21,元旦ビューティ工業（株）,5935,スタンダード,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-03-21,ＮＥＣネッツエスアイ（株）,1973,プライム,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-03-28,（株）プレサンスコーポレーション,3254,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-03-28,（株）タツミ,7268,スタンダード,ミツバの完全子会社化（株式交換）,acquisition
2025-04-23,西本Ｗｉｓｍｅｔｔａｃホールディングス（株）,9260,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-04-23,山陽特殊製鋼（株）,5481,プライム,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-04-25,（株）アスコット,3264,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-04-30,（株）テクノスジャパン,3666,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-05-09,（株）スパンクリートコーポレーション,5277,スタンダード,支配株主等による買収（株式併合）,acquisition
2025-05-12,（株）アイロムグループ,2372,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-05-13,ＩＤ＆Ｅホールディングス（株）,9161,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-05-14,川本産業（株）,3604,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-05-14,ＣＢグループマネジメント（株）,9852,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-05-16,富士ソフト（株）,9749,プライム,他社による買収（公開買付け、株式併合）,acquisition
